standort_name,standort,dealer_vehicle_number,kom_nr,jahreswagenkz,vfw_status,kennzeichen,vin,marke,modell,ez,km,antriebsart,versteuerung_hinweis,listenpreis_netto,empf_vk_preis,modell_netto_preis,upe_brutto,upe_quelle,geldwert_vorteil_monat,eingang,abmeldung,verkauft_am
Deggendorf Opel,1,110162,G,X,Verkauft (Jahreswg.Kz. X),PA-MN 698,W0VBE6ES2NG025641,Opel,ASTRA 5T ELEG 1.2(96KW)6G S/,2021-11-08,18500,,1 %,0.00,27660.00,0.00,27660.0,empf.VK,276.6,2021-09-03,,2023-06-26
Deggendorf Opel,1,115020,G,Z,Kom.Nr. G,DEG-LD 808,VXKUPHNEKM4042816,Opel,CORSA 5T ELEGA 1.2(74KW)6G S,2021-02-22,41033,Benzin (allgemein),1 %,0.00,0.00,0.00,15070.77,"Grund+Zubehör×1,19",150.71,2021-09-24,,2022-03-18
Deggendorf Opel,1,115026,G,Z,Kom.Nr. G,DGF-A 1035,W0V7D9EB4L4352471,Opel,CROSSL X 2020 1.2(96KW)6G S/,2020-10-30,44975,Benzin (allgemein),1 %,0.00,0.00,0.00,16374.21,"Grund+Zubehör×1,19",163.74,2021-09-24,,2022-02-17
Deggendorf Opel,1,115027,G,Z,Kom.Nr. G,GRA-HW 105,W0V7D9EB5L4392591,Opel,CROSSL X 2020 1.2(96KW)6G S/,2020-10-30,80444,Benzin (allgemein),1 %,0.00,0.00,0.00,15485.21,"Grund+Zubehör×1,19",154.85,2021-09-24,,2022-01-24
Deggendorf Opel,1,115024,G,Z,Kom.Nr. G,DEG-H 2197,VXKUPHNKKL4338710,Opel,CORSA 5T GS LINE 1.2(74)6G S,2020-09-28,49612,Benzin (allgemein),1 %,0.00,0.00,0.00,16178.47,"Grund+Zubehör×1,19",161.78,2021-09-27,,2022-03-04
Deggendorf Opel,1,115013,G,Z,Kom.Nr. G,FRG-SB 47,W0VZRHNSXL6058579,Opel,Grandland X Opel 2020 1.2 Direct Injection Turbo 96 kW,2020-12-22,95297,Benzin (allgemein),1 %,0.00,0.00,0.00,22253.89,"Grund+Zubehör×1,19",222.54,2021-09-28,,2022-04-01
Deggendorf Opel,1,115025,G,Z,Kom.Nr. G,EG-B 1972,W0V7D9EB0L4368120,Opel,CROSSL X 2020 1.2(96KW)AT6 S,2020-10-30,25300,Benzin (allgemein),1 %,0.00,0.00,0.00,17566.05,"Grund+Zubehör×1,19",175.66,2021-09-28,,2022-02-03
Deggendorf Opel,1,115030,G,Z,Kom.Nr. G,HH-BI 8273,W0VZT8EP2M1006195,Opel,INSI ST ELEG 2.0D(128)AT8 S/,2021-01-20,29800,Diesel,1 %,0.00,0.00,0.00,26733.45,"Grund+Zubehör×1,19",267.33,2021-09-28,,2022-07-22
Deggendorf Opel,1,115031,G,Z,Kom.Nr. G,DGF-JN 63,W0VZCYHZ9L6052220,Opel,GRANDL.X 2020 1.5D(96)MT6 S/,2020-12-10,118637,,1 %,0.00,0.00,0.00,21332.75,"Grund+Zubehör×1,19",213.33,2021-09-28,,2022-05-03
Deggendorf Opel,1,115017,G,Z,Kom.Nr. G,DEG-L 1501,VXKUPHNKKL4414016,Opel,CORSA 5T ELEGANCE 1.2(74)6GS,2020-12-16,72797,Benzin (allgemein),1 %,0.00,0.00,0.00,14305.47,"Grund+Zubehör×1,19",143.05,2021-10-04,,2022-01-03
Deggendorf Opel,1,115022,G,Z,Kom.Nr. G,PA-WM 582,VXKUPHNEKM4043863,Opel,CORSA 5T ELEGA 1.2(74KW)6G S,2021-02-15,72265,Benzin (allgemein),1 %,0.00,0.00,0.00,14881.96,"Grund+Zubehör×1,19",148.82,2021-10-04,,2022-02-04
Deggendorf Opel,1,115028,G,Z,Kom.Nr. G,SR-GA 685,W0V7D9EB9L4407626,Opel,CROSSL X 2020 1.2(96KW)6G S/,2021-02-24,63365,Benzin (allgemein),1 %,0.00,0.00,0.00,16365.84,"Grund+Zubehör×1,19",163.66,2021-10-04,,2022-03-25
Deggendorf Opel,1,110171,G,X,Verkauft (Jahreswg.Kz. X),DEG-EA 211,W0VBE6ES6NG029935,Opel,ASTRA 5T DE&TECH 1.2(96)6GS/,2021-11-08,43749,Benzin (allgemein),1 %,0.00,27460.00,0.00,27460.0,empf.VK,274.6,2021-10-25,,2024-02-01
Deggendorf Opel,1,110117,V,,Kom.Nr. V,DEG-AH 173,VXKUSHNSKMW080013,Opel,MOKKA EDITION 1.2(96KW)6G S/,2022-01-24,20611,,1 %,0.00,25720.00,0.00,25720.0,empf.VK,257.2,2021-11-02,,2022-03-29
Deggendorf Opel,1,110119,V,,Kom.Nr. V,,,,,,5000,,1 %,0.00,25225.00,,25225.0,empf.VK,252.25,2021-11-10,,2022-04-12
Deggendorf Opel,1,110124,V,,Kom.Nr. V,FRG-HW 61,VXKUDYHSKMW081259,Opel,MOKKA ELEGANCE 1.5D(81KW)6G,2022-02-01,64666,,1 %,0.00,28970.00,0.00,28970.0,empf.VK,289.7,2021-11-10,,2022-12-01
Deggendorf Opel,1,110129,V,,Kom.Nr. V,,,,,,1403,,1 %,0.00,29340.00,,29340.0,empf.VK,293.4,2021-11-10,,2022-03-18
Deggendorf Opel,1,115029,G,Z,Kom.Nr. G,FRG-AR 649,W0V7D9ED5L4394911,Opel,CROSSL X 2020 1.2(81KW)6G S/,2020-10-30,39459,Benzin (allgemein),1 %,0.00,0.00,0.00,16305.88,"Grund+Zubehör×1,19",163.06,2021-11-17,,2022-10-18
